MonthlyCharges,data_source,StreamingMovies,Partner,value,PhoneService,InternetService,StreamingTV,OnlineSecurity,MultipleLines,Dependents,DeviceProtection,SeniorCitizen,TotalCharges,TechSupport,gender ,PaperlessBilling,tenure,Churn,OnlineBackup,PaymentMethod,Contract,customerID
99.45,other,Yes,No,151642.0,Yes,Fiber optic,No,Yes,Yes,No,Yes,0.0,5623.7,No,Female,Yes,59.0,No,Yes,Bank transfer (automatic),Month-to-month,6627-CFOSN
80.4,other,Yes,Yes,151642.0,Yes,Fiber optic,No,No,No,No,No,0.0,2937.65,No,Female,No,36.0,No,No,Electronic check,Month-to-month,1910-FMXJM
98.7,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,No,Yes,No,Yes,1.0,5812.6,No,Male,Yes,58.0,Yes,No,Electronic check,Month-to-month,0946-CLJTI
93.15,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,No,No,No,Yes,1.0,2231.05,No,Male,Yes,24.0,Yes,No,Electronic check,Month-to-month,2840-XANRC
50.05,other,Yes,No,151642.0,No,DSL,Yes,No,No phone service,No,Yes,1.0,2743.45,No,Male,Yes,55.0,No,No,Bank transfer (automatic),One year,1925-LFCZZ
90.7,other,No,No,151642.0,Yes,Fiber optic,Yes,No,Yes,No,No,1.0,2845.15,No,Male,Yes,31.0,No,Yes,Electronic check,Month-to-month,5692-ICXLW
70.25,other,No,No,151642.0,Yes,Fiber optic,No,No,No,No,No,0.0,229.7,No,Female,Yes,3.0,No,No,Electronic check,Month-to-month,9633-XQABV
25.3,other,No internet service,No,151642.0,Yes,No,No internet service,No internet service,Yes,Yes,No internet service,0.0,1673.8,No internet service,Male,Yes,66.0,No,No internet service,Credit card (automatic),Two year,9337-SRRNI
54.2,other,No,No,151642.0,Yes,DSL,No,No,Yes,No,No,0.0,1739.6,No,Female,Yes,32.0,No,Yes,Electronic check,Month-to-month,5423-BHIXO
80.85,other,Yes,Yes,151642.0,Yes,DSL,Yes,No,Yes,Yes,Yes,1.0,4079.55,No,Male,Yes,52.0,No,Yes,Electronic check,One year,1309-XGFSN
69.8,other,No,Yes,151642.0,Yes,Fiber optic,No,No,No,Yes,No,0.0,69.8,No,Female,Yes,1.0,Yes,No,Electronic check,Month-to-month,5134-IKDAY
23.95,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,Yes,No,No internet service,1.0,1756.2,No internet service,Male,No,71.0,No,No internet service,Bank transfer (automatic),Two year,1131-QQZEB
101.1,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,No,Yes,No,Yes,0.0,1504.05,No,Male,Yes,15.0,Yes,No,Electronic check,Month-to-month,0680-DFNNY
75.2,other,Yes,Yes,151642.0,Yes,DSL,Yes,Yes,No,Yes,Yes,0.0,3254.35,No,Female,No,43.0,No,No,Bank transfer (automatic),Two year,2351-BKRZW
,other,,Yes,151642.0,Yes,,,,No,No,,0.0,,,Female,,27.0,,,,,2523-EWWZL
35.0,other,No,No,151642.0,No,DSL,No,Yes,No phone service,No,Yes,0.0,135.75,No,Female,No,4.0,No,No,Mailed check,Month-to-month,7075-BNDVQ
72.95,other,Yes,Yes,151642.0,Yes,DSL,Yes,No,No,Yes,Yes,0.0,4953.25,Yes,Male,Yes,68.0,No,No,Bank transfer (automatic),Two year,2256-YLYLP
54.6,other,Yes,No,151642.0,No,DSL,Yes,No,No phone service,No,Yes,1.0,1803.7,Yes,Male,Yes,33.0,No,No,Electronic check,Month-to-month,2519-ERQOJ
19.75,other,No internet service,No,151642.0,Yes,No,No internet service,No internet service,No,No,No internet service,0.0,297.3,No internet service,Female,No,15.0,Yes,No internet service,Bank transfer (automatic),Month-to-month,5577-OTWWW
68.9,other,Yes,No,151642.0,Yes,DSL,No,No,Yes,No,No,0.0,1370.35,Yes,Female,Yes,20.0,No,Yes,Credit card (automatic),Month-to-month,8263-OKETD
81.35,other,No,No,151642.0,Yes,Fiber optic,No,No,Yes,No,No,1.0,233.7,No,Male,Yes,3.0,Yes,Yes,Electronic check,Month-to-month,0334-GDDSO
20.5,other,No internet service,No,151642.0,Yes,No,No internet service,No internet service,No,Yes,No internet service,0.0,696.8,No internet service,Male,No,32.0,No,No internet service,Mailed check,Two year,7321-KKSDU
109.55,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,0.0,8165.1,No,Female,Yes,72.0,No,Yes,Electronic check,Two year,0536-ACXIP
99.3,other,Yes,No,151642.0,Yes,Fiber optic,Yes,No,Yes,No,No,0.0,918.75,No,Male,Yes,9.0,No,Yes,Credit card (automatic),Month-to-month,4445-ZJNMU
20.95,other,No internet service,No,151642.0,Yes,No,No internet service,No internet service,No,No,No internet service,0.0,20.95,No internet service,Male,No,1.0,No,No internet service,Bank transfer (automatic),Month-to-month,6728-WYQBC
70.45,other,Yes,Yes,151642.0,Yes,DSL,Yes,No,Yes,Yes,No,0.0,4300.45,No,Female,Yes,62.0,No,No,Credit card (automatic),Month-to-month,2294-DMMUS
55.8,other,No,No,151642.0,Yes,DSL,No,Yes,No,No,Yes,1.0,55.8,No,Female,Yes,1.0,Yes,No,Electronic check,Month-to-month,4201-JMNGR
24.25,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,Yes,Yes,No internet service,0.0,1424.6,No internet service,Male,Yes,62.0,No,No internet service,Bank transfer (automatic),Two year,8028-PNXHQ
75.45,other,No,No,151642.0,Yes,Fiber optic,No,No,Yes,No,No,0.0,480.75,No,Female,No,7.0,Yes,No,Mailed check,Month-to-month,7410-YTJIK
81.35,other,Yes,Yes,151642.0,Yes,DSL,Yes,Yes,No,Yes,Yes,0.0,5398.6,No,Male,No,67.0,No,Yes,Credit card (automatic),Two year,0379-DJQHR
19.75,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,No,Yes,No internet service,0.0,19.75,No internet service,Male,No,1.0,No,No internet service,Electronic check,Month-to-month,9103-CXVOK
,other,,Yes,151642.0,No,DSL,,,No phone service,Yes,,0.0,3014.65,,Male,,51.0,Yes,,,,5294-CDGWY
107.35,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,No,Yes,No,Yes,1.0,7051.95,Yes,Male,Yes,66.0,No,Yes,Bank transfer (automatic),One year,9659-ZTWSM
45.6,other,No,No,151642.0,Yes,DSL,No,No,No,No,No,0.0,45.6,No,Male,No,1.0,No,No,Mailed check,Month-to-month,9244-ZVAPM
25.25,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,Yes,Yes,No internet service,0.0,1573.05,No internet service,Male,No,63.0,No,No internet service,Mailed check,Two year,8946-BFWSG
78.8,other,No,No,151642.0,Yes,Fiber optic,Yes,No,No,No,No,0.0,1641.3,No,Male,No,20.0,No,No,Electronic check,Month-to-month,3955-JBZZM
48.8,other,No,Yes,151642.0,Yes,DSL,No,No,No,Yes,No,0.0,297.35,Yes,Female,Yes,6.0,No,No,Mailed check,Month-to-month,7742-MYPGI
59.85,other,Yes,Yes,151642.0,No,DSL,Yes,Yes,No phone service,Yes,Yes,0.0,3590.2,Yes,Female,No,60.0,No,No,Credit card (automatic),Two year,7131-ZQZNK
114.5,other,Yes,No,151642.0,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,0.0,4527.45,Yes,Female,Yes,41.0,Yes,Yes,Bank transfer (automatic),Month-to-month,4361-BKAXE
20.85,other,No internet service,No,151642.0,Yes,No,No internet service,No internet service,No,Yes,No internet service,0.0,467.5,No internet service,Male,No,19.0,No,No internet service,Credit card (automatic),Two year,3978-YNKDD
98.25,other,Yes,No,151642.0,Yes,Fiber optic,Yes,No,Yes,No,No,1.0,560.6,No,Female,Yes,6.0,Yes,Yes,Electronic check,Month-to-month,2446-BEGGB
20.1,other,No internet service,No,151642.0,Yes,No,No internet service,No internet service,No,Yes,No internet service,0.0,644.5,No internet service,Female,Yes,35.0,No,No internet service,Credit card (automatic),One year,5627-TVBPP
89.9,other,No,No,151642.0,Yes,Fiber optic,Yes,No,Yes,No,No,0.0,5450.7,No,Male,Yes,60.0,No,Yes,Bank transfer (automatic),Month-to-month,1215-FIGMP
74.75,other,No,No,151642.0,Yes,Fiber optic,No,No,Yes,No,No,0.0,706.6,No,Female,Yes,9.0,Yes,No,Electronic check,Month-to-month,4282-YMKNA
45.2,other,No,No,151642.0,Yes,DSL,No,No,No,Yes,No,0.0,1841.9,No,Female,No,41.0,No,No,Bank transfer (automatic),Month-to-month,2887-JPYLU
70.0,other,No,Yes,151642.0,Yes,Fiber optic,No,No,No,Yes,No,0.0,70,No,Male,Yes,1.0,Yes,No,Electronic check,Month-to-month,1853-UDXBW
84.95,other,No,Yes,151642.0,Yes,Fiber optic,Yes,No,Yes,No,No,0.0,1378.25,No,Female,Yes,16.0,Yes,No,Electronic check,Month-to-month,6127-ISGTU
19.6,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,No,No,No internet service,0.0,55.25,No internet service,Female,Yes,3.0,No,No internet service,Mailed check,Month-to-month,6184-DYUOB
53.55,other,No,Yes,151642.0,Yes,DSL,No,Yes,No,No,No,0.0,53.55,No,Female,Yes,1.0,No,Yes,Mailed check,Month-to-month,9108-EJFJP
20.15,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,No,Yes,No internet service,0.0,777.35,No internet service,Female,No,40.0,No,No internet service,Bank transfer (automatic),Two year,9068-FHQHD
45.0,other,No,No,151642.0,Yes,DSL,No,No,No,No,No,0.0,524.35,No,Female,Yes,12.0,No,No,Bank transfer (automatic),Month-to-month,1600-DILPE
19.95,other,No internet service,No,151642.0,Yes,No,No internet service,No internet service,No,No,No internet service,0.0,257,No internet service,Male,Yes,13.0,No,No internet service,Mailed check,One year,5546-QUERU
35.45,other,No,No,151642.0,No,DSL,No,Yes,No phone service,No,No,0.0,106.85,No,Male,Yes,3.0,Yes,Yes,Mailed check,Month-to-month,2108-XWMPY
19.5,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,No,Yes,No internet service,0.0,96.85,No internet service,Male,No,4.0,No,No internet service,Credit card (automatic),Two year,6368-TZZDT
71.05,other,No,Yes,151642.0,Yes,Fiber optic,No,No,No,No,No,1.0,3444.85,No,Female,Yes,50.0,Yes,No,Electronic check,Month-to-month,3923-CSIHK
74.55,other,Yes,Yes,151642.0,Yes,DSL,Yes,Yes,No,Yes,No,0.0,1215.8,No,Female,No,17.0,No,Yes,Mailed check,Month-to-month,7088-FBAWU
81.75,other,Yes,No,151642.0,Yes,DSL,No,Yes,Yes,No,Yes,0.0,2028.8,Yes,Male,No,25.0,No,Yes,Bank transfer (automatic),Month-to-month,4002-BQWPQ
46.3,other,Yes,No,151642.0,No,DSL,No,Yes,No phone service,No,No,0.0,2546.85,No,Male,Yes,53.0,No,Yes,Bank transfer (automatic),Month-to-month,3160-TYXLT
25.8,other,No,No,151642.0,No,DSL,No,No,No phone service,No,No,1.0,25.8,No,Female,Yes,1.0,Yes,No,Mailed check,Month-to-month,0661-XEYAN
48.75,other,Yes,Yes,151642.0,No,DSL,Yes,No,No phone service,No,Yes,0.0,633.4,No,Female,Yes,13.0,Yes,No,Bank transfer (automatic),Month-to-month,7470-MCQTK
19.95,other,No internet service,No,151642.0,Yes,No,No internet service,No internet service,No,No,No internet service,0.0,109.6,No internet service,Female,No,5.0,No,No internet service,Mailed check,Month-to-month,3363-EWLGO
75.35,other,No,No,151642.0,Yes,Fiber optic,No,No,Yes,No,No,0.0,2636.05,No,Male,No,35.0,Yes,No,Credit card (automatic),Month-to-month,1596-BBVTG
93.8,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,No,No,No,Yes,0.0,2939.8,No,Male,Yes,31.0,No,No,Electronic check,One year,1855-AGAWH
49.05,other,Yes,No,151642.0,No,DSL,Yes,No,No phone service,No,Yes,0.0,2265,No,Female,Yes,44.0,No,No,Electronic check,One year,6281-FKEWS
69.55,other,No,No,151642.0,Yes,Fiber optic,No,No,No,No,No,0.0,222.3,No,Female,Yes,3.0,Yes,No,Bank transfer (automatic),Month-to-month,9576-ANLXO
20.25,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,No,Yes,No internet service,0.0,493.95,No internet service,Female,Yes,26.0,No,No internet service,Credit card (automatic),Month-to-month,5260-UMPWX
53.95,other,No,No,151642.0,No,DSL,Yes,Yes,No phone service,No,Yes,0.0,3888.65,Yes,Male,No,71.0,No,Yes,Bank transfer (automatic),Two year,6164-HAQTX
53.75,other,No,No,151642.0,Yes,DSL,No,Yes,No,No,Yes,0.0,2790.65,No,Male,No,52.0,No,No,Electronic check,One year,8668-KNZTI
106.0,other,Yes,No,151642.0,Yes,Fiber optic,Yes,No,Yes,No,Yes,1.0,6441.4,Yes,Female,Yes,60.0,Yes,No,Electronic check,One year,8651-ENBZX
19.25,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,No,Yes,No internet service,0.0,1372.9,No internet service,Female,Yes,67.0,No,No internet service,Bank transfer (automatic),Two year,9972-EWRJS
65.65,other,Yes,Yes,151642.0,Yes,DSL,No,No,No,No,Yes,0.0,3094.65,No,Female,Yes,48.0,No,Yes,Electronic check,One year,9114-AAFQH
93.0,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,No,Yes,No,No,0.0,2248.05,No,Male,Yes,24.0,No,No,Electronic check,Month-to-month,2371-JQHZZ
59.6,other,No,No,151642.0,Yes,DSL,No,Yes,Yes,No,Yes,0.0,2094.9,No,Male,Yes,35.0,No,No,Electronic check,Month-to-month,6131-FOYAS
50.95,other,Yes,No,151642.0,No,DSL,No,Yes,No phone service,No,No,0.0,307.6,Yes,Female,No,6.0,No,Yes,Credit card (automatic),Month-to-month,7351-MHQVU
79.05,other,Yes,Yes,151642.0,Yes,DSL,Yes,Yes,No,Yes,No,0.0,4663.4,Yes,Male,Yes,60.0,No,Yes,Credit card (automatic),Month-to-month,1036-GUDCL
